iter	RMSE
0	66.94358109
1	66.6193053
2	66.30079573
3	65.98563098
4	65.67468548
5	65.37099251
6	65.07355456
7	64.77507901
8	64.49280152
9	64.20899362
10	63.92354342
11	63.64580927
12	63.36999154
13	63.10083991
14	62.86015573
15	62.59956454
16	62.33956733
17	62.08709763
18	61.84150183
19	61.59950524
20	61.35403991
21	61.12152183
22	60.8861709
23	60.6528874
24	60.42312819
25	60.20107535
26	59.98031037
27	59.76424204
28	59.5502968
29	59.35095017
30	59.14549398
31	58.9406684
32	58.74446587
33	58.54853627
34	58.35354089
35	58.15818544
36	57.9676094
37	57.78118621
38	57.60359002
39	57.42096043
40	57.24343961
41	57.07108682
42	56.89755164
43	56.73225159
44	56.56353813
45	56.39998388
46	56.23941891
47	56.08192115
48	55.92843526
49	55.77673349
50	55.62516804
51	55.47868587
52	55.33591184
53	55.19011173
54	55.04751275
55	54.9081559
56	54.77340392
57	54.63905999
58	54.50489589
59	54.37785321
60	54.25362798
61	54.12829022
62	54.00788388
63	53.88908192
64	53.77259982
65	53.65829559
66	53.54052238
67	53.42810544
68	53.3169469
69	53.20766505
70	53.09898033
71	52.99563097
72	52.89189703
73	52.79814832
74	52.69738968
75	52.600292
76	52.50366231
77	52.40869519
78	52.32029854
79	52.22763672
80	52.13521879
81	52.04445774
82	51.95593005
83	51.86752176
84	51.78293043
85	51.69882322
86	51.61607702
87	51.53628127
88	51.45690147
89	51.3768455
90	51.29949491
91	51.22550052
92	51.15345951
93	51.08612275
94	51.01478019
95	50.94399457
96	50.87505891
97	50.80527632
98	50.7389249
99	50.6703708
100	50.6049183
101	50.54322175
102	50.48051651
103	50.42135181
104	50.35962699
105	50.30169498
106	50.24528854
107	50.18707737
108	50.13076291
109	50.07665061
110	50.02038877
111	49.96578504
112	49.91371938
113	49.86256763
114	49.80960096
115	49.76558421
116	49.71492805
117	49.66835799
118	49.62016915
119	49.57262449
120	49.52533316
121	49.48559049
122	49.44032043
123	49.39797727
124	49.35766674
125	49.31509291
126	49.27443995
127	49.23165971
128	49.19088116
129	49.15196144
130	49.11327017
131	49.07502431
132	49.03812103
133	49.00125892
