iter	Passed	Remaining
0	58	58009
1	60	29966
2	61	20585
3	63	15799
4	65	12945
5	66	11023
6	68	9681
7	70	8688
8	71	7867
9	73	7253
10	75	6746
11	76	6326
12	78	5960
13	80	5639
14	81	5325
15	82	5091
16	84	4876
17	85	4684
18	87	4513
19	88	4342
20	90	4205
21	91	4078
22	92	3949
23	94	3846
24	96	3748
25	97	3658
26	99	3573
27	100	3497
28	102	3422
29	103	3338
30	104	3275
31	106	3215
32	107	3160
33	109	3109
34	111	3065
35	112	3016
36	114	2970
37	115	2926
38	116	2880
39	118	2838
40	119	2799
41	121	2765
42	122	2734
43	124	2703
44	126	2674
45	127	2643
46	129	2616
47	130	2588
48	132	2563
49	133	2540
50	135	2515
51	136	2487
52	137	2465
53	139	2443
54	140	2421
55	142	2402
56	143	2381
57	145	2361
58	147	2345
59	148	2327
60	149	2306
61	151	2289
62	152	2272
63	154	2256
64	155	2240
65	157	2223
66	158	2207
67	160	2194
68	161	2179
69	162	2164
70	164	2154
71	166	2141
72	167	2131
73	168	2112
74	170	2100
75	171	2087
76	173	2076
77	174	2066
78	175	2051
79	177	2040
80	178	2030
81	180	2022
82	182	2012
83	183	2001
84	185	1991
85	186	1983
86	188	1974
87	189	1966
88	191	1957
89	192	1949
90	194	1939
91	195	1930
92	197	1922
93	198	1912
94	200	1905
95	201	1898
96	203	1892
97	204	1883
98	206	1876
99	207	1870
100	209	1863
101	210	1856
102	212	1850
103	213	1842
104	215	1836
105	216	1829
106	218	1823
107	219	1816
108	221	1811
109	223	1804
110	224	1797
111	225	1790
112	227	1786
113	229	1780
114	231	1778
115	232	1769
116	233	1762
117	234	1755
118	236	1749
119	237	1743
120	239	1738
121	240	1728
122	241	1723
123	243	1718
124	244	1713
125	246	1709
126	247	1704
127	249	1699
128	250	1694
129	252	1689
130	254	1685
131	255	1680
132	256	1675
133	258	1670
134	260	1666
135	261	1662
136	263	1657
137	264	1653
138	266	1647
139	267	1644
140	269	1641
141	270	1636
142	272	1632
143	273	1626
144	275	1621
145	276	1617
146	277	1612
147	279	1608
148	280	1604
149	282	1601
150	284	1598
151	286	1595
152	287	1591
153	289	1589
154	290	1586
155	292	1582
156	293	1578
157	295	1574
158	297	1570
159	298	1566
160	299	1562
161	301	1559
162	302	1555
163	304	1551
164	305	1547
165	307	1543
166	309	1541
167	310	1538
168	312	1535
169	313	1531
170	315	1527
171	316	1524
172	318	1521
173	319	1517
174	321	1514
175	322	1511
176	324	1507
177	325	1504
178	327	1501
179	328	1498
180	330	1494
181	331	1491
182	333	1487
183	334	1484
184	336	1480
185	337	1477
186	339	1474
187	340	1470
188	342	1467
189	343	1464
190	344	1460
191	346	1457
192	347	1454
193	349	1451
194	350	1448
195	352	1445
196	353	1442
197	355	1439
198	357	1437
199	358	1433
200	360	1431
201	361	1428
202	363	1425
203	364	1422
204	365	1419
205	367	1415
206	368	1412
207	370	1410
208	371	1407
209	373	1405
210	375	1402
211	376	1399
212	378	1397
213	379	1393
214	380	1390
215	382	1388
216	383	1385
217	385	1382
218	386	1379
219	388	1377
220	389	1374
221	391	1372
222	393	1369
223	394	1367
224	396	1364
225	397	1362
226	399	1359
227	400	1357
228	402	1354
229	403	1351
230	405	1348
231	406	1346
232	408	1343
233	409	1341
234	411	1338
235	412	1335
236	413	1331
237	415	1328
238	416	1326
239	417	1323
240	419	1320
241	421	1319
242	422	1316
243	424	1314
244	425	1311
245	427	1309
246	428	1307
247	430	1304
248	431	1301
249	433	1299
250	434	1297
251	436	1294
252	437	1292
253	439	1289
254	440	1287
255	442	1284
256	443	1282
257	445	1280
258	446	1277
259	448	1275
260	449	1273
261	451	1270
262	452	1268
263	454	1266
264	455	1264
265	457	1262
266	459	1260
267	460	1258
268	462	1256
269	464	1255
270	466	1253
271	467	1251
272	469	1250
273	471	1248
274	472	1246
275	474	1243
276	475	1241
277	477	1239
278	478	1236
279	479	1234
280	481	1231
281	482	1229
282	484	1227
283	485	1225
284	487	1222
285	488	1220
286	490	1218
287	491	1215
288	493	1213
289	494	1211
290	496	1208
291	497	1206
292	498	1204
293	500	1201
294	501	1198
295	503	1196
296	504	1194
297	506	1192
298	507	1189
299	508	1187
300	510	1185
301	511	1182
302	513	1180
303	514	1178
304	516	1176
305	517	1174
306	519	1172
307	520	1170
308	522	1168
309	523	1165
310	525	1163
311	526	1160
312	528	1158
313	529	1157
314	531	1155
315	532	1152
316	534	1150
317	535	1148
318	537	1146
319	538	1144
320	540	1142
321	541	1140
322	542	1138
323	544	1135
324	545	1133
325	547	1131
326	549	1130
327	550	1128
328	552	1126
329	553	1123
330	554	1121
331	556	1119
332	557	1117
333	559	1114
334	560	1112
335	562	1110
336	563	1108
337	564	1106
338	566	1104
339	567	1101
340	569	1099
341	570	1097
342	572	1095
343	573	1093
344	574	1091
345	576	1089
346	577	1087
347	579	1085
348	580	1083
349	582	1081
350	583	1079
